NIL;densitaOccupati;tipiAlloggio
SACCO;0.000409335213846896;2.65555555555556
COMASINA;0.00332349749809516;3.13907284768212
STEPHENSON;0.000551689274202857;2.46153846153846
QT 8;0.00434579985539724;3.06820461384152
ORTOMERCATO;0.00221030771408245;3.16082474226804
MAGGIORE - MUSOCCO;0.00160980073061506;2.90110826939471
PARCO LAMBRO - CIMIANO;0.00244872781252946;3.26009155222638
GALLARATESE;0.00638535268546742;3.23145604395604
S. SIRO;0.00291414971639594;3.06303317535545
GHISOLFA;0.00611059634387601;3.27866972477064
BAGGIO;0.00516558391967983;3.0012466237274
QUARTO CAGNINO;0.00481147707063835;3.00917431192661
LORENTEGGIO;0.00364205263170692;2.97400611620795
GIAMBELLINO;0.00671763762863206;3.44962257958648
S. CRISTOFORO;0.00664275891838867;3.05318039624609
RONCHETTO SUL NAVIGLIO;0.00326453421597725;3.06782511210762
TIBALDI;0.00612810013226216;3.11347087378641
CASCINA TRIULZA - EXPO;0.000153256536765369;2.47058823529412
QUARTO OGGIARO;0.00732291886757632;3.25788970353841
AFFORI;0.00601431174858354;3.02085951244031
PADOVA;0.0103077409277456;3.1374514215586
EX OM - MORIVIONE;0.00455391952894787;2.99809523809524
ADRIANO;0.00260121062923085;3.04232804232804
FARINI;0.00269047405530046;3.04459459459459
UMBRIA - MOLISE;0.0084778830319862;3.21536412078153
TRIULZO SUPERIORE;0.000718985063537628;2.80952380952381
CORSICA;0.00756568508152231;3.23191489361702
CITTA' STUDI;0.00954977122280809;3.28028933092224
SELINUNTE;0.0146610068075961;3.45048399106478
PARCO MONLUE' - PONTE LAMBRO;0.00129694009580781;2.68722943722944
NIGUARDA - CA' GRANDA;0.00567287709203368;3.19387525332132
STADERA;0.00574555578556364;3.13970826580227
GUASTALLA;0.0132459465483304;3.28127233738385
BRERA;0.0131251145505427;3.33038254821372
DUOMO;0.0137318802876712;3.12361466325661
SCALO ROMANA;0.00462018236494839;2.96493594066082
MAGENTA - S. VITTORE;0.013705026626939;3.31127819548872
BOVISASCA;0.00249171367796339;2.98575244879786
LODI - CORVETTO;0.00527329269584511;3.21099015033696
LAMBRATE;0.0022900601636313;2.97737556561086
BARONA;0.0067720846697643;3.17801047120419
BRUZZANO;0.00442288091695341;3.07741522712732
TRENNO;0.00430662554555231;2.92613636363636
GRATOSOGLIO - TICINELLO;0.00437391930657105;3.14132492113565
FIGINO;0.000667502458703509;2.79447852760736
QUINTO ROMANO;0.0015809366292465;3.01395348837209
PARCO AGRICOLO SUD;0.000200527664403431;2.37790697674419
VILLAPIZZONE;0.00787202925992983;3.10187146892655
BOVISA;0.00385336587588595;3.04355325571367
DERGANO;0.00628066065462104;3.05725047080979
PARCO NORD;0.000633786536910611;2.38823529411765
BICOCCA;0.0029644427191404;3.06830601092896
MUGGIANO;0.00541625444085387;2.85314685314685
PORTELLO;0.00461612913014806;3.36457260556128
TRE TORRI;0.00501639986633448;3.23502304147465
PARCO SEMPIONE;1.91312568747869e-05;2.48484848484848
GIARDINI PORTA VENEZIA;0.000520735626389225;2.94594594594595
TORTONA;0.00780106960715788;3.21197668256492
NAVIGLI;0.00564178364897875;3.05079928952043
XXII MARZO;0.0119224448696679;3.22660596863935
BUENOS AIRES - VENEZIA;0.0142044828918341;3.32044063647491
QUINTOSOLE;0.000647736513176155;2.59477124183007
RONCHETTO DELLE RANE;0.0028008593747101;2.43396226415094
CHIARAVALLE;0.000651392388451132;2.59414225941423
PARCO DELLE ABBAZIE;0.000208060049555458;2.38333333333333
ROGOREDO;0.00404695486044264;3.09307135470527
MECENATE;0.00382661809680693;3.19326241134752
RIPAMONTI;0.00458873639452013;3.14704192992533
VIALE MONZA;0.00795608635085039;3.06483065343825
CENTRALE;0.00864995465314355;3.27312970340859
GRECO;0.00591970429244857;3.02185273159145
LORETO;0.00851241324728947;3.09808560980856
PARCO FORLANINI - ORTICA;0.000965543093185662;2.31496062992126
MACIACHINI - MAGGIOLINA;0.0108890790580632;3.18690744920993
ISOLA;0.00794955974809228;3.27852004110997
SARPI;0.00900428784067762;3.25450744708649
DE ANGELI - MONTE ROSA;0.0104377779131017;3.14713579528933
WASHINGTON;0.0125783539055819;3.30645161290323
BANDE NERE;0.00875902514219844;3.3562030075188
FORZE ARMATE;0.00400542280949621;3.27291930713984
PARCO BOSCO IN CITTA';0.000379194394181464;2.23454157782516
PORTA ROMANA;0.0101875407783251;3.09711620016964
VIGENTINA;0.00688929626925482;3.22023476802683
TICINESE;0.0111970318822536;3.17433122933574
CANTALUPA;0.000524432056141503;2.55434782608696
PARCO DEI NAVIGLI;0.000399133595655589;2.30845771144279
PAGANO;0.00731158351151452;3.31837916063676
GARIBALDI REPUBBLICA;0.00785955140635255;3.14068441064639
