SEZCENS;ZONASTAT;NCIRCO;SUPERF
905;20;8;6941.26
906;20;8;7736.14
907;20;8;32138.47
908;20;8;6237.15
909;20;8;9174.35
910;20;8;8429.53
911;20;8;7672.77
912;20;8;9452.63
913;20;8;9966.58
914;20;8;4269.61
915;20;8;5292.05
916;20;8;8619.46
917;20;8;6864.84
918;20;8;78446.76
919;20;8;8024.75
920;20;8;10379.46
921;20;8;13291.82
923;20;8;8626.13
924;20;8;9084.13
925;20;8;6452.7
926;20;8;6951.97
928;20;8;6682.81
929;20;8;8579.38
930;20;8;9243.19
931;20;8;7438.64
932;20;8;4875.94
933;20;8;7139.68
934;20;8;3465.93
935;20;8;6158.4
936;20;8;7925.88
937;20;8;15003.88
938;20;8;7969.72
939;20;8;7043.81
940;20;8;4434.31
941;20;8;6290.78
942;20;8;10759.72
944;20;8;8536.67
945;20;8;10271.2
946;20;8;8295.12
947;20;8;5027.6
949;21;7;49611.17
951;21;7;4259.75
952;21;7;18983.08
953;21;7;9998.59
954;21;7;15613.16
955;21;7;27972.12
956;21;7;6420.31
957;21;7;23411.59
959;21;7;11408.66
960;21;7;130323.21
961;21;7;13343.91
962;21;7;4817.98
963;21;7;6993.56
964;22;7;29521.48
965;22;7;12763.99
966;22;7;7413.12
967;22;7;11097.31
968;22;7;6843.75
969;22;7;8413.29
970;22;7;8254.71
971;22;7;8586.11
972;22;7;39154.55
973;22;7;29327.29
974;22;7;12818.88
975;22;7;23627.5
976;22;7;16712.92
977;22;7;12144.66
978;22;7;9948.11
979;22;7;9934.77
980;22;7;13408.4
981;22;7;8445.48
982;22;7;6210.79
983;22;7;10721.52
984;22;7;17864.01
985;22;7;20371.4
986;22;7;15405.32
987;22;7;13920.84
988;22;7;9209.73
989;22;7;5536.15
990;22;7;8034.23
991;22;7;11944.73
992;22;7;5509.62
993;22;7;11602.64
994;22;7;7574.22
995;22;7;6720.8
996;22;7;39149.15
997;22;7;21163.8
998;22;7;20342.97
999;22;7;19978.78
1000;23;7;21994.19
1001;23;7;14938.45
1003;23;7;84975.35
1004;23;7;23629.19
1005;23;7;20995.46
1006;23;7;14246.02
1007;23;7;20223.54
1008;23;7;9146.56
1009;23;7;18688.04
1010;23;7;12274.16
1011;23;7;23455.35
1012;23;7;27772.35
1013;23;7;20731.14
1014;23;7;22123.42
1015;23;7;4763.26
1016;23;7;9504.63
1017;23;7;6043.06
1018;23;7;9417.64
1019;23;7;5041.52
1020;23;7;10230.12
1021;23;7;6651.35
1022;23;7;10360.81
1024;23;7;8058.33
1025;23;7;9367.93
1026;23;7;10116.23
1027;23;7;4527.14
1028;23;7;9149.64
1029;23;7;5957.52
1030;23;7;9304.8
1031;23;7;9333.89
1032;23;7;10810.94
1033;23;7;18136.27
1034;23;7;5223.11
1035;23;7;10613.85
