SEZ2011;COMUNE;P1;P61;E17;E18;E19;E20;NIL
151460000001;Milano;14;7;0;0;0;1;DUOMO
151460000002;Milano;24;11;0;0;0;2;DUOMO
151460000003;Milano;23;9;0;0;2;0;DUOMO
151460000004;Milano;9;4;0;0;0;1;DUOMO
151460000005;Milano;1;1;0;1;0;0;DUOMO
151460000006;Milano;7;3;0;2;0;0;DUOMO
151460000007;Milano;8;5;0;2;0;0;DUOMO
151460000008;Milano;3;2;0;0;0;1;DUOMO
151460000009;Milano;18;8;0;3;1;0;DUOMO
151460000010;Milano;14;8;0;0;0;4;DUOMO
151460000011;Milano;12;6;0;0;0;2;DUOMO
151460000012;Milano;0;0;0;0;0;0;DUOMO
151460000013;-;-;-;-;-;-;-;DUOMO
151460000014;Milano;2;0;0;1;0;0;DUOMO
151460000015;Milano;3;2;0;0;0;1;DUOMO
151460000016;Milano;0;0;0;0;0;0;DUOMO
151460000017;Milano;5;3;0;1;0;0;DUOMO
151460000018;Milano;30;18;0;0;0;1;DUOMO
151460000019;Milano;64;27;0;0;0;5;DUOMO
151460000020;Milano;14;9;0;0;0;2;DUOMO
151460000021;Milano;146;80;0;0;1;4;DUOMO
151460000022;Milano;350;175;0;1;0;18;DUOMO
151460000023;Milano;0;0;0;1;0;0;DUOMO
151460000024;Milano;116;47;0;0;0;4;DUOMO
151460000025;Milano;100;40;0;0;0;7;MAGENTA - S. VITTORE
151460000026;Milano;10;6;0;0;0;3;MAGENTA - S. VITTORE
151460000027;Milano;0;0;0;0;0;0;DUOMO
151460000028;Milano;110;52;1;0;0;8;DUOMO
151460000029;Milano;163;80;0;0;0;13;DUOMO
151460000030;Milano;112;62;0;0;0;6;DUOMO
151460000031;Milano;0;0;0;0;0;0;DUOMO
151460000032;Milano;68;37;0;1;0;5;DUOMO
151460000033;Milano;40;24;0;0;0;4;DUOMO
151460000034;Milano;15;8;0;0;0;2;DUOMO
151460000035;Milano;0;0;0;0;0;0;DUOMO
151460000036;Milano;27;11;0;0;0;3;DUOMO
151460000037;Milano;0;0;0;0;0;0;BRERA
151460000038;Milano;20;12;0;0;1;3;DUOMO
151460000039;Milano;0;0;0;0;0;0;DUOMO
151460000040;Milano;0;0;0;0;0;0;DUOMO
151460000041;Milano;0;0;0;0;0;0;BRERA
151460000042;Milano;0;0;0;0;0;0;BRERA
151460000043;Milano;0;0;0;0;0;0;BRERA
151460000044;Milano;0;0;0;0;0;0;DUOMO
151460000045;Milano;0;0;0;0;0;0;DUOMO
151460000046;Milano;2;0;0;1;0;0;DUOMO
151460000047;Milano;19;5;0;0;2;0;DUOMO
151460000048;Milano;21;10;2;1;0;1;DUOMO
151460000049;Milano;1;1;0;1;0;0;DUOMO
151460000050;Milano;5;1;0;0;0;0;DUOMO
151460000051;Milano;18;10;0;1;0;5;DUOMO
151460000052;-;-;-;-;-;-;-;DUOMO
151460000053;Milano;0;0;0;0;0;0;DUOMO
151460000054;Milano;16;3;0;1;0;0;DUOMO
151460000055;Milano;15;9;0;4;1;0;DUOMO
151460000056;Milano;6;4;0;0;0;2;DUOMO
151460000057;Milano;42;23;0;0;5;0;DUOMO
151460000058;Milano;33;22;0;5;1;0;DUOMO
151460000059;Milano;0;0;0;0;0;0;DUOMO
151460000060;Milano;11;7;0;0;0;1;DUOMO
151460000061;Milano;91;55;2;2;1;7;DUOMO
151460000062;Milano;153;81;0;0;2;11;DUOMO
151460000063;Milano;93;56;1;1;0;8;DUOMO
151460000064;Milano;9;4;0;0;0;1;DUOMO
151460000065;Milano;57;30;2;3;2;1;DUOMO
151460000066;Milano;79;38;3;3;1;1;DUOMO
151460000067;Milano;21;6;0;2;0;1;DUOMO
151460000068;Milano;3;3;0;1;0;0;DUOMO
151460000069;Milano;15;6;0;0;0;2;DUOMO
151460000070;Milano;45;22;0;0;0;5;DUOMO
151460000071;Milano;21;14;0;0;0;4;DUOMO
151460000072;Milano;8;4;0;0;0;1;DUOMO
151460000073;Milano;114;60;1;0;2;12;DUOMO
151460000074;Milano;133;72;1;1;1;17;DUOMO
151460000075;Milano;55;33;1;1;0;4;DUOMO
151460000076;Milano;9;6;0;1;0;0;DUOMO
151460000077;Milano;123;63;9;5;3;2;DUOMO
151460000078;Milano;111;43;0;11;4;1;DUOMO
151460000079;Milano;1;1;0;0;0;0;DUOMO
151460000080;Milano;63;31;0;1;0;12;DUOMO
151460000081;Milano;97;44;0;0;0;12;DUOMO
151460000082;Milano;53;20;0;0;1;12;DUOMO
151460000083;Milano;313;155;0;0;1;17;DUOMO
151460000084;Milano;0;0;0;0;0;0;BRERA
151460000085;Milano;3;2;0;1;0;0;DUOMO
151460000086;Milano;26;13;0;0;1;1;BRERA
151460000087;Milano;2;1;0;1;0;0;BRERA
151460000088;Milano;61;42;1;0;0;6;BRERA
151460000089;Milano;47;11;0;0;0;3;BRERA
151460000090;Milano;13;6;0;0;0;2;BRERA
151460000091;Milano;65;31;1;1;0;6;BRERA
151460000092;Milano;81;40;1;0;0;2;BRERA
151460000093;Milano;131;63;1;0;0;8;BRERA
151460000094;Milano;62;31;0;0;1;6;BRERA
151460000095;Milano;44;25;0;0;0;3;BRERA
151460000096;Milano;0;0;0;0;0;0;BRERA
151460000097;Milano;19;12;0;1;2;0;BRERA
151460000098;Milano;25;16;0;0;2;0;BRERA
151460000099;Milano;35;17;0;1;0;7;BRERA
151460000100;Milano;0;0;0;0;0;0;BRERA
151460000101;Milano;98;50;0;0;0;10;BRERA
151460000102;Milano;348;165;0;1;0;24;BRERA
151460000103;Milano;77;34;1;1;0;4;BRERA
151460000104;Milano;67;25;0;0;0;2;BRERA
151460000105;Milano;71;42;1;0;0;5;BRERA
151460000106;Milano;108;47;0;0;0;7;BRERA
151460000107;Milano;87;46;0;1;1;4;BRERA
151460000108;Milano;107;48;0;1;0;8;BRERA
151460000109;Milano;53;21;1;0;1;1;BRERA
151460000110;Milano;99;57;0;0;0;13;BRERA
151460000111;Milano;32;22;0;0;0;4;BRERA
151460000112;Milano;12;6;0;0;0;2;BRERA
151460000113;Milano;2;0;0;0;0;2;DUOMO
151460000114;Milano;273;138;0;0;4;16;BRERA
151460000115;Milano;157;77;3;0;5;10;BRERA
151460000116;Milano;123;69;0;0;0;24;BRERA
151460000117;Milano;76;47;0;1;1;7;BRERA
151460000118;Milano;107;52;0;0;0;2;BRERA
151460000119;Milano;69;29;0;0;0;5;BRERA
151460000120;Milano;58;24;0;0;0;4;BRERA
151460000121;Milano;73;33;0;0;0;7;BRERA
151460000122;Milano;112;58;0;0;0;7;BRERA
151460000123;Milano;137;66;0;0;0;9;BRERA
151460000124;Milano;0;0;0;0;0;0;DUOMO
151460000125;Milano;206;91;0;0;0;10;BRERA
151460000126;Milano;160;88;0;1;0;8;BRERA
151460000127;Milano;22;13;0;0;3;1;BRERA
151460000128;Milano;0;0;0;0;0;0;BRERA
151460000129;Milano;33;19;0;0;0;6;BRERA
151460000130;Milano;80;25;0;0;2;5;BRERA
151460000131;Milano;201;94;0;0;1;8;BRERA
151460000132;Milano;88;45;0;0;0;3;BRERA
151460000133;Milano;105;57;0;0;0;12;BRERA
151460000134;Milano;237;101;2;0;1;10;BRERA
151460000135;Milano;97;54;0;0;0;1;BRERA
151460000136;Milano;42;24;0;0;0;1;BRERA
151460000137;Milano;82;40;0;0;3;3;BRERA
151460000138;Milano;122;62;0;1;2;7;BRERA
151460000139;Milano;33;14;0;0;0;2;BRERA
151460000140;Milano;85;35;0;0;0;3;BRERA
151460000141;Milano;45;26;0;0;0;5;BRERA
151460000142;Milano;51;18;0;0;0;2;BRERA
151460000143;Milano;55;27;1;0;0;3;BRERA
151460000144;Milano;8;4;0;0;0;2;BRERA
151460000145;Milano;117;59;1;0;0;10;GUASTALLA
151460000146;Milano;73;32;0;1;0;7;DUOMO
151460000147;Milano;91;39;3;1;2;4;DUOMO
151460000148;Milano;7;3;0;1;0;0;GUASTALLA
151460000149;Milano;151;82;6;0;0;6;GUASTALLA
151460000150;Milano;14;5;0;0;0;4;DUOMO
151460000151;Milano;4;3;0;0;1;0;DUOMO
151460000152;Milano;100;49;0;0;0;6;GUASTALLA
151460000153;Milano;40;18;0;0;0;3;DUOMO
151460000154;Milano;31;19;1;0;0;1;-
151460000155;Milano;125;66;0;0;0;8;GUASTALLA
151460000156;Milano;126;65;0;0;1;7;GUASTALLA
151460000157;Milano;67;30;1;1;1;5;GUASTALLA
151460000158;Milano;102;45;1;0;1;5;GUASTALLA
151460000159;Milano;62;31;0;0;0;4;DUOMO
151460000160;Milano;11;7;0;1;0;1;DUOMO
151460000161;Milano;74;29;0;0;0;6;GUASTALLA
151460000162;Milano;30;18;0;1;3;1;GUASTALLA
151460000163;Milano;0;0;0;0;0;0;DUOMO
151460000164;Milano;81;34;0;0;0;6;-
151460000165;Milano;76;37;0;0;0;3;GUASTALLA
151460000166;Milano;0;0;0;0;0;0;GUASTALLA
151460000167;Milano;0;0;0;0;0;0;GUASTALLA
151460000168;Milano;6;1;0;0;0;0;GUASTALLA
151460000169;Milano;11;7;0;0;1;0;GUASTALLA
151460000170;Milano;72;27;0;0;0;3;GUASTALLA
151460000171;Milano;141;80;0;1;1;6;DUOMO
151460000172;Milano;31;15;0;0;0;2;DUOMO
151460000173;Milano;127;65;5;0;0;6;DUOMO
151460000174;Milano;174;82;2;2;0;9;DUOMO
151460000175;Milano;91;51;3;1;1;1;DUOMO
151460000176;Milano;127;65;4;2;0;7;DUOMO
151460000177;Milano;144;77;0;0;1;15;DUOMO
151460000178;Milano;53;26;0;0;0;2;DUOMO
151460000179;Milano;44;19;0;0;1;3;DUOMO
151460000180;Milano;31;16;0;0;0;1;DUOMO
151460000181;Milano;78;42;0;0;0;2;DUOMO
151460000182;Milano;4;2;0;0;1;0;DUOMO
151460000183;Milano;24;14;0;1;0;0;DUOMO
151460000184;Milano;3;2;0;1;0;0;DUOMO
151460000185;Milano;37;22;1;1;0;1;DUOMO
151460000186;Milano;0;0;0;0;0;0;DUOMO
151460000187;Milano;37;14;0;0;3;0;DUOMO
151460000188;Milano;14;12;0;3;1;0;DUOMO
151460000189;Milano;26;14;0;1;2;0;DUOMO
151460000190;Milano;74;30;4;2;0;2;DUOMO
151460000191;Milano;19;13;0;3;1;0;DUOMO
151460000192;Milano;49;24;0;0;0;3;DUOMO
151460000193;Milano;6;3;0;0;1;0;DUOMO
151460000194;Milano;6;4;0;0;0;1;DUOMO
151460000195;Milano;93;47;0;0;1;8;DUOMO
151460000196;Milano;233;100;0;0;1;13;DUOMO
151460000197;Milano;50;21;0;0;0;3;DUOMO
151460000198;Milano;72;40;0;0;0;6;DUOMO
151460000199;Milano;47;20;0;0;0;1;DUOMO
151460000200;Milano;115;48;0;0;0;4;DUOMO
151460000201;Milano;225;107;0;2;0;7;DUOMO
151460000202;Milano;62;33;0;0;0;1;DUOMO
151460000203;Milano;142;63;0;0;0;6;DUOMO
151460000204;Milano;136;78;0;0;2;11;DUOMO
151460000205;Milano;91;44;0;0;1;3;DUOMO
151460000206;Milano;3;1;0;1;0;0;DUOMO
151460000207;Milano;56;25;0;0;1;1;DUOMO
151460000208;Milano;70;32;0;0;0;3;DUOMO
151460000209;Milano;188;77;1;0;0;9;DUOMO
151460000210;Milano;178;74;0;1;0;6;DUOMO
151460000211;Milano;211;108;0;0;0;7;DUOMO
151460000212;Milano;150;81;0;1;1;9;DUOMO
151460000213;Milano;0;0;0;0;0;0;DUOMO
151460000214;Milano;112;48;1;0;1;2;DUOMO
151460000215;Milano;48;23;1;1;2;0;DUOMO
151460000216;Milano;96;46;0;0;1;5;DUOMO
151460000217;Milano;156;77;3;2;3;4;DUOMO
151460000218;Milano;0;0;0;0;0;0;DUOMO
151460000219;Milano;85;42;0;0;6;0;DUOMO
151460000220;Milano;82;33;2;2;0;2;DUOMO
151460000221;Milano;8;3;0;1;2;0;DUOMO
151460000222;Milano;92;56;0;1;0;7;DUOMO
151460000223;Milano;27;14;0;0;0;4;DUOMO
151460000224;Milano;24;13;0;0;1;0;DUOMO
151460000225;Milano;245;126;0;0;0;12;DUOMO
151460000226;Milano;106;49;0;2;0;5;DUOMO
151460000227;Milano;48;20;0;0;0;4;DUOMO
151460000228;Milano;107;47;0;0;0;5;DUOMO
151460000229;Milano;169;84;0;0;0;8;DUOMO
151460000230;Milano;102;52;0;0;2;5;DUOMO
151460000231;Milano;2;2;0;1;0;0;DUOMO
151460000232;Milano;176;84;0;0;0;1;DUOMO
151460000233;Milano;26;18;0;0;0;1;DUOMO
151460000234;Milano;84;31;0;0;0;1;-
151460000235;Milano;104;42;0;0;0;2;DUOMO
151460000236;Milano;60;34;0;0;2;5;DUOMO
151460000237;Milano;154;74;0;0;1;6;DUOMO
151460000238;Milano;242;127;1;0;1;8;DUOMO
151460000239;Milano;39;18;0;0;2;4;DUOMO
