COMUNE;SEZ2011;P1;P61;E17;E18;E19;E20
Milano;151460000001;14;7;0;0;0;1
Milano;151460000002;24;11;0;0;0;2
Milano;151460000003;23;9;0;0;2;0
Milano;151460000004;9;4;0;0;0;1
Milano;151460000005;1;1;0;1;0;0
Milano;151460000006;7;3;0;2;0;0
Milano;151460000007;8;5;0;2;0;0
Milano;151460000008;3;2;0;0;0;1
Milano;151460000009;18;8;0;3;1;0
Milano;151460000010;14;8;0;0;0;4
Milano;151460000011;12;6;0;0;0;2
Milano;151460000012;0;0;0;0;0;0
Milano;151460000014;2;0;0;1;0;0
Milano;151460000015;3;2;0;0;0;1
Milano;151460000016;0;0;0;0;0;0
Milano;151460000017;5;3;0;1;0;0
Milano;151460000018;30;18;0;0;0;1
Milano;151460000019;64;27;0;0;0;5
Milano;151460000020;14;9;0;0;0;2
Milano;151460000021;146;80;0;0;1;4
Milano;151460000022;350;175;0;1;0;18
Milano;151460000023;0;0;0;1;0;0
Milano;151460000024;116;47;0;0;0;4
Milano;151460000025;100;40;0;0;0;7
Milano;151460000026;10;6;0;0;0;3
Milano;151460000027;0;0;0;0;0;0
Milano;151460000028;110;52;1;0;0;8
Milano;151460000029;163;80;0;0;0;13
Milano;151460000030;112;62;0;0;0;6
Milano;151460000031;0;0;0;0;0;0
Milano;151460000032;68;37;0;1;0;5
Milano;151460000033;40;24;0;0;0;4
Milano;151460000034;15;8;0;0;0;2
Milano;151460000035;0;0;0;0;0;0
Milano;151460000036;27;11;0;0;0;3
Milano;151460000037;0;0;0;0;0;0
Milano;151460000038;20;12;0;0;1;3
Milano;151460000039;0;0;0;0;0;0
Milano;151460000040;0;0;0;0;0;0
Milano;151460000041;0;0;0;0;0;0
Milano;151460000042;0;0;0;0;0;0
Milano;151460000043;0;0;0;0;0;0
Milano;151460000044;0;0;0;0;0;0
Milano;151460000045;0;0;0;0;0;0
Milano;151460000046;2;0;0;1;0;0
Milano;151460000047;19;5;0;0;2;0
Milano;151460000048;21;10;2;1;0;1
Milano;151460000049;1;1;0;1;0;0
Milano;151460000050;5;1;0;0;0;0
Milano;151460000051;18;10;0;1;0;5
Milano;151460000053;0;0;0;0;0;0
Milano;151460000054;16;3;0;1;0;0
Milano;151460000055;15;9;0;4;1;0
Milano;151460000056;6;4;0;0;0;2
Milano;151460000057;42;23;0;0;5;0
Milano;151460000058;33;22;0;5;1;0
Milano;151460000059;0;0;0;0;0;0
Milano;151460000060;11;7;0;0;0;1
Milano;151460000061;91;55;2;2;1;7
Milano;151460000062;153;81;0;0;2;11
Milano;151460000063;93;56;1;1;0;8
Milano;151460000064;9;4;0;0;0;1
Milano;151460000065;57;30;2;3;2;1
Milano;151460000066;79;38;3;3;1;1
Milano;151460000067;21;6;0;2;0;1
Milano;151460000068;3;3;0;1;0;0
Milano;151460000069;15;6;0;0;0;2
Milano;151460000070;45;22;0;0;0;5
Milano;151460000071;21;14;0;0;0;4
Milano;151460000072;8;4;0;0;0;1
Milano;151460000073;114;60;1;0;2;12
Milano;151460000074;133;72;1;1;1;17
Milano;151460000075;55;33;1;1;0;4
Milano;151460000076;9;6;0;1;0;0
Milano;151460000077;123;63;9;5;3;2
Milano;151460000078;111;43;0;11;4;1
Milano;151460000079;1;1;0;0;0;0
Milano;151460000080;63;31;0;1;0;12
Milano;151460000081;97;44;0;0;0;12
Milano;151460000082;53;20;0;0;1;12
