NIL;AreaMQ
SACCO;708465.80062
COMASINA;926734.56254
STEPHENSON;560097.89287
QT 8;1024437.42191
ORTOMERCATO;1402519.6493
MAGGIORE - MUSOCCO;3030188.71046
PARCO LAMBRO - CIMIANO;4971969.50094
GALLARATESE;3894538.2072
S. SIRO;3435307.37068
GHISOLFA;1051452.20506
BAGGIO;3478599.95683
QUARTO CAGNINO;986391.48235
LORENTEGGIO;2635327.10001
GIAMBELLINO;1965274.21243
S. CRISTOFORO;1596174.13943
RONCHETTO SUL NAVIGLIO;2406775.20289
TIBALDI;786214.30721
CASCINA TRIULZA - EXPO;1729126.8979
QUARTO OGGIARO;2778263.74536
AFFORI;2070893.64846
PADOVA;2061945.49795
EX OM - MORIVIONE;817976.68499
ADRIANO;2431560.10856
FARINI;1010230.89022
UMBRIA - MOLISE;1192396.72945
TRIULZO SUPERIORE;1395022.026
CORSICA;1081329.70271
CITTA' STUDI;2207487.43694
SELINUNTE;984925.5368
PARCO MONLUE' - PONTE LAMBRO;2639289.20932
NIGUARDA - CA' GRANDA;4251281.95248
STADERA;3232237.34885
GUASTALLA;1548020.74168
BRERA;1637395.23318
DUOMO;2341704.07303
SCALO ROMANA;1736727.98305
MAGENTA - S. VITTORE;1390146.87958
BOVISASCA;1576826.43666
LODI - CORVETTO;3639092.51901
LAMBRATE;3096861.86967
BARONA;2006324.59022
BRUZZANO;1667691.29409
TRENNO;489710.55823
GRATOSOGLIO - TICINELLO;3312818.31794
FIGINO;1424713.85326
QUINTO ROMANO;1645859.7719
PARCO AGRICOLO SUD;5844580.1156
VILLAPIZZONE;3427070.59504
BOVISA;1913132.63195
DERGANO;1358615.03578
PARCO NORD;1533639.39338
BICOCCA;1534521.13297
MUGGIANO;444218.42184
PORTELLO;909636.59846
TRE TORRI;513316.33614
PARCO SEMPIONE;470434.32948
GIARDINI PORTA VENEZIA;249646.83308
TORTONA;996786.38848
NAVIGLI;1483927.8712
XXII MARZO;1637499.70861
BUENOS AIRES - VENEZIA;2877542.27389
QUINTOSOLE;1057528.77299
RONCHETTO DELLE RANE;188870.60335
CHIARAVALLE;311640.11677
PARCO DELLE ABBAZIE;13722000
ROGOREDO;1200161.64437
MECENATE;3821389.9663
RIPAMONTI;1853233.49804
VIALE MONZA;3005623.48691
CENTRALE;1556077.52176
GRECO;1768669.42718
LORETO;1747565.53375
PARCO FORLANINI - ORTICA;2925814.51821
MACIACHINI - MAGGIOLINA;1674980.95135
ISOLA;1322966.34446
SARPI;1811914.53324
DE ANGELI - MONTE ROSA;1323078.54363
WASHINGTON;1306450.75845
BANDE NERE;2663880.92524
FORZE ARMATE;3206902.39481
PARCO BOSCO IN CITTA';7837668.60904
PORTA ROMANA;1002793.53205
VIGENTINA;1135239.31826
TICINESE;1255064.74821
CANTALUPA;926716.80594
PARCO DEI NAVIGLI;3617836.27266
PAGANO;1289734.29424
GARIBALDI REPUBBLICA;785668.2501
